Quote,Speaker,Year
"Was the International Monetary Fund correct when it said just after the election in 2008, when commenting on the global financial crisis, that the average advanced country was starting with debt of about 80 percent of GDP but that New Zealand's gross debt was around 20 percent and that, in net terms, it had positive financial assets; and after the many examples I have given today\'97from the Governor of the Reserve Bank to the International Monetary Fund\'97is the Minister saying that these leading economists are wrong, and why does he continue to say that he inherited a mess when, quite plainly, he did not?",Hon Annette King,2010
"I have let the House know about all the measures of the mess the economy was in. Government debt was relatively low but the last Budget of the Labour Government resulted in this headline: ""Treasury books a sea of red ink"". In the 2008 Budget, before the global financial crisis, the Cullen Government delivered 10 years of deficits. That is what it forecast. So even the one thing that was in better condition, Labour was in the process of wrecking.",Hon BILL ENGLISH,2010
"Does the Minister agree that Labour's last term in Government demonstrates the urgent need for a taxpayers' bill of rights that caps per capita Government spending so that a desperate and dying Government cannot attempt to buy itself another term and would, instead, be forced to go back to taxpayers and seek their authorisation for further increases in Government spending; if not, why not?",Hilary Calvert,2010
"There is no doubt that the experience of those years has meant that this Government has had to tighten up, very considerably, on what was sloppy and ineffective and, in some cases, negligent management of public resources. A taxpayers bill of rights would be one way to bring more fiscal discipline to Governments, and we are willing to discuss whether that would be effective.",Hon BILL ENGLISH,2010
Has the Government estimated the cost to the taxpayer of the interest rate premium the Government is paying as a result of the Minister's loss of credibility as Minister of Finance because of his housing scandal?,Hon Trevor Mallard,2010
I rule that question out of order because the member has made an allegation that is totally inappropriate. The member cannot make that kind of allegation against another member of this House. The Standing Orders are very clear on that.,Mr SPEAKER,2010
"I raise a point of order, Mr Speaker. Are you ruling that there was no housing scandal?",Hon Trevor Mallard,2010
"I rule that it is inappropriate for a member in this House to claim in a supplementary question that there was a housing scandal. If the member looks at the Standing Orders\'97probably Standing Order 371\'97he will see that questions must not contain expressions of opinion in respect of that kind of thing. Whether it was a scandal is an expression of opinion, and questions should not make that kind of allegation. I think the member is quite lucky I did not let the Minister loose, because the Minister might have dumped pretty severely on the questioner. [Interruption] Interjections should at least be humorous and, above all, not nasty. There is no need for nasty interjections in this House. If members want to get nasty, they should get out of the House. While I am Speaker I have no [Interruption] There should be no comments. I do not want to hear nasty interjections.",Mr SPEAKER,2010
What were some of the other significant economic problems facing New Zealand around the time of the 2008 general election?,Amy Adams,2010
"I will give just a few indications of the problems this country had. Government spending had been growing at more than twice the rate of the economy, and at the same time the export sector had been in recession from 2003 to 2005. Over that period there were no net new jobs in agriculture, forestry, or manufacturing. By the end of 2008 inflation was at 5 percent, which was the highest annual rate for two decades. Real after-tax wages were falling, which left families worse off. A month later Treasury forecasts painted a very bleak picture of the Government's books\'97never-ending deficits and ever-soaring debt.",Hon BILL ENGLISH,2010
"If the previous Minister of Finance was so hopelessly incompetent to mismanage the books in that way, why did the National Government appoint him to chair the country's largest State-owned enterprise?",Hon David Cunliffe,2010
"I think he was actually not too bad, up to the point where that member became an Associate Minister of Finance.",Hon BILL ENGLISH,2010
"I raise a point of order, Mr Speaker. That was a misrepresentation, and I want to give a clarification under the Standing Orders. I was not an Associate Minister of Finance in the year to which the Minister was referring.",Hon David Cunliffe,2010
"The member cannot use a point of order to do that, although I have some sympathy with the member's feeling the need to do so. But he cannot actually use a point of order for that purpose.",Mr SPEAKER,2010
What are the consequences of unsustainable increases in public spending that lead to budget deficits getting out of control?,Peseta Sam Lotu-Iiga,2010
"Countries that allow their deficits to get out of control can end up in considerable difficulty. For instance, I have seen reports overnight that Britain is being forced to make the largest cuts to public spending since World War II, in a 5-year austerity plan that could cost nearly half a million jobs. Governments that let deficits get out of control find themselves in a position where they have to make drastic decisions rather than considered decisions.",Hon BILL ENGLISH,2010
"Hoi an\uc0\u333  r\u257  kai te Kaihaut\u363  hei tuatahi m\u257 ku, kai te t\u363  whakaiti nei i roto i te Whare i te mea r\u257  kua tae \u257 -tinana mai, \u333 ku rangatira, \u333 ku kuia, \u333 ku tu\u257 kana, teina, tu\u257 hine. Kua takahia i a r\u257 tou te nuku o te whenua kia kite ake an\u333  i a r\u257 tou ki te tutukitanga o t\u275 nei kaupapa e kawe nei i a r\u257 tou ki roto i te Whare Mi\u275 re. K\u299 hai r\u257  te wareware i a r\u257 tou k\u299 hai i tae \u257 -tinana mai, r\u257 tou kua whet\u363 rangihia. Kore e taea te whakahua, ko wai, ko wai, ko wai, kai mahue ake w\u275 tahi. Engari an\u333 , me p\u275 nei r\u257  te k\u333 rero, kore rawa t\u275 nei pai ki te wareware i \u257  r\u257 tou me \u333  r\u257 tou mahi \u257  ringaringa, hei mea \u257 whina i a t\u257 tou e ora nei, me \u257  t\u257 tou mokopuna, k\u257 re an\u333  kia whakatinana mai i roto i t\u275 nei ao.",Hon MITA RIRINUI,2010
"Te mea tuatahi, anei taku mihi ki a koutou e aku rangatira, e aku tu\uc0\u257 kana. E te iwi T\u363 wharetoa, Raukawa, Te Arawa, ng\u257  mihi nui, ng\u257  mihi nui, ng\u257  mihi nui. [In the first instance, my acknowledgment to you, my chiefs and elder brothers. Huge, enormous, and immense greetings to you, the people of T\u363 wharetoa, Raukawa, and Te Arawa.] It is a wonderful event when people turn up to Parliament to hear the third reading for the passing of a bill that is particular to their area, and particular to the whole Treaty settlement process. They do not turn up just to have a jack, they do not come just to have a cup of tea, and they do not come just to have a few parliamentary biscuits and what have you. They come to see a bit of history. They come to see the job being done.",Hon TAU HENARE,2010
"I think that all members in this House today have the responsibility, given the level of goodwill that there is towards this bill and its provisions, to put our weight behind mediating those inevitable disputes, the consequences of the implementation of this bill. Certainly, for the Greens, I can commit to that. We will continue to lend our support to the implementation as well as to the passing of this bill. We will all be the richer for it, as will the natural world that surrounds and sustains us. Finally, I again pay my respects and offer our regards to ng\uc0\u257  iwi of the Waikato, who are taking on this final hurdle, as our colleague Tau Henare mentioned.",David Clendon,2010
"Kia ora, Mr Deputy Speaker. To all those people up in the gallery, I say that I would not call them a crowd. I think they bring much more significance, in being with us today. I would probably call them an ope. To the people of Te Arawa, Ng\uc0\u257 ti T\u363 wharetoa, and Ng\u257 ti Raukawa I say welcome and thank them for making the journey yet again to share their stories, their history, and their past with us in the House who are just doing the bidding of drafting legislation and getting it to the House. We share their presence here today. Thank you for being here. It is my pleasure to be here.",Hon STEVE CHADWICK,2010
"Kia ora an\uc0\u333  t\u257 tou. I te tuatahi he mihi t\u275 nei hei t\u257 piri atu ki ng\u257  mihi whakamirimiri kua tukua ki a koutou kua tat\u363  mai ki Te Upoko-o te-Ika i t\u275 nei... [Greetings once again to us. Firstly, I add this acknowledgment to the soothing remarks that were accorded to you who arrived here in Wellington, the Head of the Fish, this afternoon. Salutations to you. Greetings to you in regard to our parents and their aspirations, and our dreams for these resources on the land, be it freshwater, salt water, forests, or level or undulating land. Our task today is to affirm our interests and those of the M\u257 ori people in these resources that we are to nurture and hand down to our children and grandchildren to come. So greetings to you, and to us all.]",Hon SHANE JONES,2010
"T\uc0\u275 n\u257  koe e te Mana Whakaw\u257 . T\u275 na t\u257 tou te wh\u257 nau P\u257 remata. Ng\u257 ti T\u363 wharetoa, Te Arawa, Ng\u257 ti Raukawa, t\u275 nei kei te mihi ki a koutou katoa. Nau mai ki te Whare P\u257 remata. Kua tangihia ng\u257  mate, moe mai koutou. T\u257 tou te hunga ora kei konei i t\u275 nei p\u333 , kia ora huihui t\u257 tou katoa. [Greetings to you, Mr Deputy Speaker. Greetings to us, the parliamentary family, and to you all, Ng\u257 ti T\u363 wharetoa, Te Arawa, and Ng\u257 ti Raukawa. Welcome to the House of Parliament. The dead have been mourned, so rest there. To us, the living gathered here, greetings to us all.] I have the privilege of joining with previous speakers in welcoming our guests, and the members and representatives from the three tribes.",PAUL QUINN,2010
"Next week the House is in a 1-week adjournment. When the House resumes on Tuesday, 3 November, the Government will look to advance a number of bills on the Order Paper, including the Taxation (Bright-line Test for Residential Land) Bill and the Taxation (Annual Rates for 2015-16, Research and Development, and Remedial Matters) Bill. As agreed by the Business Committee, extended hours will be taken on the morning of Wednesday, 4 November for Government business, and, as indicated yesterday, the House will rise at approximately 5.45 p.m. or at the conclusion of the new Green Party member's speech.",Hon GERRY BROWNLEE,2015
"I raise a point of order, Mr Speaker. I seek leave to move a motion without notice and without debate to honour veterans on the 73rd anniversary of the Battle of El Alamein\'97",DARROCH BALL,2015
Order! I will just put the leave to see whether the members are happy. Leave is sought to move that particular motion without debate. Is there any objection? There is objection.,Mr SPEAKER,2015
Does she stand by all her statements?,DARROCH BALL,2015
"Yes, when taken in context.",Hon ANNE TOLLEY,2015
"Does she stand by her statement in relation to the army-run Limited Service Volunteer programme that ""as the total number of young people on benefits drops, so too does the number of suitable clients who are likely to benefit from attending the LSV programme."";?",Darroch Ball,2015
"In relation to where it is an accurate quote from me, yes, I have said in this House that as we have seen the number of young people on benefits drop, we have refined the numbers of young people who are suitable to go into that course.",Hon ANNE TOLLEY,2015
"How can she guarantee that demand for Limited Service Volunteer programme places has actually reduced when she has admitted that the Ministry of Social Development does not even report on the number of applications for the course and she is just relying on the fact that ""the likely number of young people at long-term risk of unemployment has reduced.""",Darroch Ball,2015
"I rely on advice from officials who are working with these young people every day. If the need arises and the demand increases, then we will have a look at it again.",Hon ANNE TOLLEY,2015
"If she honestly believes in a direct, evidence-based approach, then how can she prove that only 800 out of 25,000 unemployed youth are suitable for this course?",Darroch Ball,2015
"As I said, I rely on advice from the officials and, also, from those who are working with young people on a daily basis. We are conducting those courses, we are paying for those courses, and they are having a great effect on the young people involved.",Hon ANNE TOLLEY,2015
"Will she admit that the Wellington Limited Service Volunteer course was not shut down because of a supposed reduction in demand but because the 5-year lease on its facility ended on 1 January this year, it was put up for sale in April, then, coincidently, there was a cut to the Limited Service Volunteer programme in April, and the building was sold in June?",Darroch Ball,2015
All I can say is that all of that is news to me.,Hon ANNE TOLLEY,2015
"It should not be. Does she have any immediate plans to further reduce the number of places in the Limited Service Volunteer programme; if so, why?",Darroch Ball,2015
The Hon Anne Tolley\'97either of those two supplementary questions.,Mr SPEAKER,2015
"No. We have allocated 800 places, and we are prepared to pay for 800 places, but we continue to look at whether we have the right young people going into that course, whether it will help, and whether that will then help them to get employment when they have completed the course.",Hon ANNE TOLLEY,2015
"How can the answer possibly be ""No."", and how can she explain the reason the Auckland-based programme is now being moved to a temporary site\'97a scout hall\'97and plans are currently under way to shut it down completely at the end of 2017?",Darroch Ball,2015
"I do not know where this member gets his information from, but what I can say is that the Ministry of Social Development is working in partnership with the Defence Force to provide this course and to support young people who are suitable for undertaking the Limited Service Volunteer course\'97and not all are\'97in order to help them to gain motivation, to gain some physical skills, and to prepare them for employment. We will continue to do that, and the funding is in the 4-year plan out beyond 2017.",Hon ANNE TOLLEY,2015
There are a number of documents I am seeking leave to table.,Darroch Ball,2015
"Order! Are they documents that\'97[Interruption] Order! Before I put the leave, are they documents that are freely available to members?",Mr SPEAKER,2015
No.,Darroch Ball,2015
"With assurance that they are not, then I will listen very briefly to the documents. If there are too many, I will deem that you are trying only to make a political point and I will then\'97[Interruption] Order! I am speaking. If there are too many, I will then decide not to put the leave. So I will invite the member to list the documents, and I will make a judgment.",Mr SPEAKER,2015
"The first is the Official Information Act document from the headquarters of the New Zealand Defence Force titled Downsizing the Youth Development Unit, dated 14 June 2015. The second is an Official Information Act document from the headquarters of the New Zealand Defence Force titled Limited Service Volunteer Validation, dated 2014. I have six Limited Service Volunteer operational group meeting minutes dated from 15 April to 19 August 2015, which state the move of the Limited Service Volunteer Auckland programme to a temporary scout hall and that considerations are under way to shut it down completely. Also, the last is the lease agreement between the New Zealand Defence Force and the Ministry of Education, dated 26 June 2010, showing the expiry date of that lease being 1 January.",Darroch Ball,2015
I will put the leave. Leave is sought to table that quantity of documents. Is there any objection? There is objection.,Mr SPEAKER,2015
"Is it correct that according to Statistics New Zealand figures, real seasonally adjusted GDP per capita growth in the first 6 months of this year was the worst it has been since 2010?",GRANT ROBERTSON,2015
"Statistics New Zealand reports that real seasonally adjusted per capita GDP, in the 3 months to June 2015, was $11,924. In December 2014 this quarterly figure was $11,964, the highest ever reading for this series. That is the smallest change for any 6-month period since 2010. However, I would note that most respected commentators use GDP per capita on an annual basis, and by that measure GDP per capita is growing. I would also point out that it is easy to grow GDP per capita when a stadium's worth of people are leaving the country each year, as they were under the previous Labour Government in 2008.",Hon PAULA BENNETT,2015
"Can the Minister confirm that the first 6 months of this year saw a 0.2 percent negative GDP per capita growth, and is this reflective of a successful economy?",Grant Robertson,2015
"Yes, but annual GDP growth between June 2014 and June 2015 was actually 2.4 percent, and, as I say, most commentators would take it from an annual GDP per capita basis, and we are very confident that this actual calendar year will also see a growth.",Hon PAULA BENNETT,2015
"How is it a sign of success for the New Zealand economy that we have now been added to HSBC's watch-list of nations that it has a concern about due to our overreliance on China, falling commodity prices, and the Auckland housing bubble?",Grant Robertson,2015
"To quote from HSBC, it says ""Although low risk, New Zealand may be one to watch."", so I think that needs to be kept in the context of what it actually is. I find it ironic that, when we are about to sign a Trans-Pacific Partnership agreement that actually sees us extend wider than just the Chinese market, Labour does not quite know where it stands on that and is not supporting what would be a real economic growth for this country across more than just the market of China.",Hon PAULA BENNETT,2015
Does it surprise the Minister that the Opposition spokesperson on finance ties his credibility to a report from a foreign bank?,Hon Gerry Brownlee,2015
Order! There is no ministerial responsibility there.,Mr SPEAKER,2015
Is the Minister proud to be managing an economy that makes the global headlines that these are the economies that could run into trouble?,Grant Robertson,2015
"What I am proud of is to actually have an economy that has had 18 straight quarters of economic growth, 11 straight quarters of job growth, with 69,000 more jobs just in the last year, and a stable outlook for moderate economic growth. What I will note is that most other OECD countries would like a Prime Minister like John Key, a finance Minister like our Minister of Finance, and an economy like ours. They would just like a stronger Opposition.",Hon PAULA BENNETT,2015
"Does he think that unemployment of 6 percent, which some economists say will rise to 7 percent, is part of a successful economy?",Grant Robertson,2015
"What I would also note, though, is that the Reserve Bank Governor just recently has said that the forecasting that he was predicting 6 months ago actually has not fallen as badly, that we are seeing growth in the manufacturing sector since a crisis was called by the Labour Party. We are seeing beef increase, and we have seen 69,000 more jobs just over the last 12 months. So what we are seeing is real growth in jobs. We have also got one of the strongest labour markets in the country as far as participation is concerned and a net migration, quite frankly, that is at an all-time high.",Hon PAULA BENNETT,2015
"According to the latest household labour force survey, how many New Zealanders are currently unemployed?",Grant Robertson,2015
"Sorry, I do not have that at the top of my notes here and cannot remember the exact figure, but what I would say is that, actually, one of our highest rates of labour force participation actually shows confidence in the numbers of those who are actually in the workforce and looking.",Hon PAULA BENNETT,2015
"How can the Minister judge the economy a success, when we are on an international watch-list of concern, housing is the most unaffordable that it has been in 60 years, exports as a percentage of GDP are the lowest since 1997, and, to help the Minister out, 148,000 New Zealanders are unemployed?",Grant Robertson,2015
"I know that that member is making a career out of trying to talk down our economy, and actually does not have the view that we are growing, that we are sustainable. We are still looking at GDP growth of around 2 percent, which actually is considered low risk. They cannot actually get it together enough to recognise the benefits of the Trans-Pacific Partnership, which will grow us beyond just that Chinese market and see other sectors, apart from dairy, also growing.",Hon PAULA BENNETT,2015
How is the Government's economic plan managing the challenges presented by low inflation and the outlook for the global economy?,PAUL FOSTER-BELL,2015
"The current mix of lower dairy prices, low inflation, and a weaker global economic outlook means lower expected growth in tax revenues for the Government, despite rising real wages for New Zealand households. The Government's plan in response to this weaker outlook for revenue growth is to focus on managing expenditure. We are working to make each dollar go further rather than cutting spending or services.",Hon PAULA BENNETT,2015
What progress has the Government made in balancing its books in the past 5 years?,Paul Foster-Bell,2015
"The Government has made good progress on balancing its books and getting back into surplus. In 2010-11 the Government recorded a deficit of $18.4 billion, or 9 percent of GDP, on the back of the global financial crisis and, of course, the Canterbury earthquakes. In the years following, the Government recorded smaller deficits each year, and last week the Government announced a $414 million surplus for the 2014-15 year. This met the target, of course, that we set in 2011. This result is due in part to the Government's careful management of expenditure, which has fallen from 34 percent of GDP in 2011 to 30 percent of GDP in 2015.",Hon PAULA BENNETT,2015
How will the Government's prudent fiscal management help New Zealand manage future uncertainties?,Paul Foster-Bell,2015
"Like many New Zealand households, the Government has weekly obligations that it must meet and finances to balance. By analogy, if the Government were the average New Zealand household it would have had an income last year of $90,900, expenses of $90,500, and a $400 surplus at the year end. This Government household would have debt of $76,000 and it would be paying $59 per week in interest. So we are reasonably well positioned to weather future uncertainties. What is important is that we continue to work towards paying down that debt while continuing to meet our commitments to New Zealanders.",Hon PAULA BENNETT,2015
What recent reports has the Minister received on GDP per capita?,Paul Foster-Bell,2015
"The Minister has seen a report from one high-profile economic commentator\'97I think he means Grant Robertson suggesting GDP per capita is falling. Not everybody knows that there is more than one measure of GDP or that per capita GDP is generally measured on an annual basis. Like most statistics, per capita GDP will fluctuate from quarter to quarter.",Hon PAULA BENNETT,2015
Do you know what you're saying?,David Shearer,2015
"You will learn something. On an annual basis, GDP per capita is growing, despite record high net migration. In the year to June per capita GDP at current prices grew 2.1 percent. In real terms it grew 0.4 percent. That commentator will also be assured by the\'97",Hon PAULA BENNETT,2015
Order! That question is a marginal question. I suspect it was designed to attack the Opposition.,Mr SPEAKER,2015
Does she believe that community housing providers will have to be commercial in order to be sustainable?,PHIL TWYFORD,2015
"Yes. It kind of makes sense that to be financially sustainable into the future, as they are growing their portfolios, they may need to be commercial in their outlook as well.",Hon PAULA BENNETT,2015
"Are chirping birds in the neighbours' trees a truly representative reason some people are turning down State houses, or is the real reason that cold, damp, mouldy houses are making their children sick?",Phil Twyford,2015
"We have a number of declines about 3,500 in any one year\'97and about 12 percent of them are not for good and sufficient reasons. So one would say that the other over 3,000 of them are, and some of them might be those reasons. We take that into consideration to make sure that we are keeping people in the types of houses they need to be in and that they are still connected to jobs and schools. But there are some who are turning down houses who should not be. In the meantime, we have people in dire need who actually need those houses, and they should have access to them.",Hon PAULA BENNETT,2015
"Why does she constantly engage in snide attacks on the most vulnerable citizens when the reality is that under her Government there are more Kiwis than ever before living in campgrounds and garages while she leaves 2,000 State houses vacant?",Phil Twyford,2015
"Well, I just say: ""Look in the mirror, 'Mr Snide .""",Hon PAULA BENNETT,2015
"Is she surprised that community housing providers are cynical about her approach, given that she started off saying the State house sell-off was all about building up local community groups, and now the Government is courting property developers, merchant bankers, and Australian companies?",Phil Twyford,2015
"Well, we have always thought it would take a consortium to help actually grow the community housing providers so that we can have a range of skills that are needed. As I said this morning to Community Housing Aotearoa, it is very good with people, and that is its strength, and its tenancy management. What it may need to do is to go into a consortium with banks so that it can actually see that portfolio grow, and that makes perfect sense. In fact, I have quotes from the member where last year in his speech he said: ""Your members have shown you can build good-quality homes at a very affordable price. You can leverage private sector investment."" And that was Phil Twyford.",Hon PAULA BENNETT,2015
