Quote,Speaker,Year
"As the Chief of Defence Force told the member at the Foreign Affairs, Defence and Trade Committee on 6 December 2012 and also on 22 June 2013, the New Zealand Defence Force has had no cut in capabilities. The member is also working with out-of-date statistics. The New Zealand Defence Force attrition rate today is 14 percent, which is below the historic long-run average and well below the 19 percent figure under Labour. Both army and navy attrition rates today are significantly beneath levels reached under Labour.",Hon Dr JONATHAN COLEMAN,2013
"When the navy admits that skill and experience levels in critical trade groups have been seriously degraded—their words, Minister—by the significant reduction in the number of trained personnel available, why does he keep on pretending that this has not reduced the navy’s capability?",Hon Phil Goff:,2013
"My answer is that unlike what happened under the last Labour Government, I have made sure that every single forestry operation in this country is being visited, with a view to holding investigations where there are unacceptable practices. As I say, those investigations may well lead to prosecutions and have already led to some of those companies being stopped in their tracks and having business stopped",Hon SIMON BRIDGES,2013
"Today I have announced an additional $9 million over 4 years to support rural general practices to retain clinical staff and services. This new investment is on top of the $13 million a year already funded for rural general practice support. This additional funding will take effect from 1 July 2014, when a new way of allocating rural funding will be rolled out",Hon JO GOODHEW ,2013
"Is the Minister saying to the people of New Zealand that his job is not to read a very important environment report from the very company that had a 25 percent stake in the Gulf of Mexico spill; and how sensible, safe, and environmentally responsible is it to allow Anadarko to drill a well in the deepest water just off the Waikato coast, and not even need a marine consent, when people in the Waikato need a resource consent to drill a water bore?",Gareth Hughes,2013
"The Policing Act 2008 was quite different. I want to refer to section 22 of the Policing Act 2008, which says: “A Police employee may become a constable only by taking the constable’s oath, in either of the following forms, before the Commissioner or a person authorised by the Commissioner to administer the constable’s oath:”. That was the change that was made in 2008. It was recognised, however, in October of 2009 that that Act was not being appropriately administered, and that was essentially because people who were not correctly authorised had continued to act in the way that they had under the old law.",JACINDA ARDERN ,2013
"In relation to where it is an accurate quote from me, yes, I have said in this House that as we have seen the number of young people on benefits drop, we have refined the numbers of young people who are suitable to go into that course.",Hon ANNE TOLLEY,2015
"How can she guarantee that demand for Limited Service Volunteer programme places has actually reduced when she has admitted that the Ministry of Social Development does not even report on the number of applications for the course and she is just relying on the fact that ""the likely number of young people at long-term risk of unemployment has reduced.""",Darroch Ball,2015
"I rely on advice from officials who are working with these young people every day. If the need arises and the demand increases, then we will have a look at it again.",Hon ANNE TOLLEY,2015
"If she honestly believes in a direct, evidence-based approach, then how can she prove that only 800 out of 25,000 unemployed youth are suitable for this course?",Darroch Ball,2015
"Is it correct that according to Statistics New Zealand figures, real seasonally adjusted GDP per capita growth in the first 6 months of this year was the worst it has been since 2010?",GRANT ROBERTSON,2015
"Can the Minister confirm that the first 6 months of this year saw a 0.2 percent negative GDP per capita growth, and is this reflective of a successful economy?",Grant Robertson,2015
"Sorry, I do not have that at the top of my notes here and cannot remember the exact figure, but what I would say is that, actually, one of our highest rates of labour force participation actually shows confidence in the numbers of those who are actually in the workforce and looking.",Hon PAULA BENNETT,2015
"How can the Minister judge the economy a success, when we are on an international watch-list of concern, housing is the most unaffordable that it has been in 60 years, exports as a percentage of GDP are the lowest since 1997, and, to help the Minister out, 148,000 New Zealanders are unemployed?",Grant Robertson,2015
"I know that that member is making a career out of trying to talk down our economy, and actually does not have the view that we are growing, that we are sustainable. We are still looking at GDP growth of around 2 percent, which actually is considered low risk. They cannot actually get it together enough to recognise the benefits of the Trans-Pacific Partnership, which will grow us beyond just that Chinese market and see other sectors, apart from dairy, also growing.",Hon PAULA BENNETT,2015
How is the Government's economic plan managing the challenges presented by low inflation and the outlook for the global economy?,PAUL FOSTER-BELL,2015
"Does she stand by her statement in relation to the army-run Limited Service Volunteer programme that ""as the total number of young people on benefits drops, so too does the number of suitable clients who are likely to benefit from attending the LSV programme."";?",Darroch Ball,2015
I rise to pass a few comments and a few thanks at the end of my 7 years as a member of this Parliament and 9 years as co-leader of the Green Party. I want to start with a little story from Queensland. Some of you may know that I was born in Brisbane...,Dr RUSSEL NORMAN,2015
"How is it a sign of success for the New Zealand economy that we have now been added to HSBC's watch-list of nations that it has a concern about due to our overreliance on China, falling commodity prices, and the Auckland housing bubble?",Grant Robertson,2015
"As I said, I rely on advice from the officials and, also, from those who are working with young people on a daily basis. We are conducting those courses, we are paying for those courses, and they are having a great effect on the young people involved.",Hon ANNE TOLLEY,2015
"Next week the House is in a 1-week adjournment. When the House resumes on Tuesday, 3 November, the Government will look to advance a number of bills on the Order Paper, including the Taxation (Bright-line Test for Residential Land) Bill and the Taxation (Annual Rates for 2015-16, Research and Development, and Remedial Matters) Bill. As agreed by the Business Committee, extended hours will be taken on the morning of Wednesday, 4 November for Government business, and, as indicated yesterday, the House will rise at approximately 5.45 p.m. or at the conclusion of the new Green Party member's speech.",Hon GERRY BROWNLEE,2015
"Yes, but annual GDP growth between June 2014 and June 2015 was actually 2.4 percent, and, as I say, most commentators would take it from an annual GDP per capita basis, and we are very confident that this actual calendar year will also see a growth.",Hon PAULA BENNETT,2015
"Like many New Zealand households, the Government has weekly obligations that it must meet and finances to balance. By analogy, if the Government were the average New Zealand household it would have had an income last year of $90,900, expenses of $90,500, and a $400 surplus at the year end. This Government household would have debt of $76,000 and it would be paying $59 per week in interest. So we are reasonably well positioned to weather future uncertainties. What is important is that we continue to work towards paying down that debt while continuing to meet our commitments to New Zealanders.",Hon PAULA BENNETT,2015
"Are chirping birds in the neighbours' trees a truly representative reason some people are turning down State houses, or is the real reason that cold, damp, mouldy houses are making their children sick?",Phil Twyford,2015
": Again, holding up a chart like that is actually rather sad because what that chart represented yesterday was the highest house-building rate in this country since 1973. This fantastic news that should be celebrated has been‚Äîlike the No. 1 lemon suckers in the country‚Äîturned around now to a chart about gangs. The problem is that we have got ourselves ready to deal to the gangs in this country. We've changed the laws, and there are laws we have changed with respect to the use of guns, which, dare I say it, is being supported over here, but not by them. So let's have a little less of the crocodile tears and a bit of on-the-ground common sense.",Rt Hon WINSTON PETERS,2020
": I want to thank the Minister of Police for reminding us of the fact and not just allegations. But can I just say police will be on the ground. Expect to see more armed police on the streets of Hawke's Bay and the Bay of Plenty in response to this gang tension. Expect to see police openly carrying their rifles and pistols where it's required, expect to see police wearing new body armour, expect to see the Eagle helicopter in the air, and expect to see police executing search warrants at gang properties. Expect them also to be enforcing the new laws that we are about to pass with respect to their gang access or the provisioning of gangs with guns, which that Opposition party there is opposing.",Rt Hon WINSTON PETERS,2020
": I'm aware of a number of concerns that Professor Andrew Geddis has raised by some parties under our Electoral Act, including actions by the National Party funnelling donations to electorate candidates through their party‚Äîincluding to Nick Smith, whose only declared donation in the 2017 election was a $25,000 donation from the National Party. What was he trying to conceal?",Hon ANDREW LITTLE,2020
"SIMON O'CONNOR (National‚ÄîTƒÅmaki) to the Associate Minister of Housing (Public Housing) : Can he confirm that almost 14,500 New Zealanders are currently waiting for a State house, and that the waiting list is more than double what it was when National left office?",SIMON O'CONNOR,2020
"on behalf of the Associate Minister of Housing (Public Housing) : Yes. The Government has always been clear that it is going to take some time to reverse the damage that nine years of neglect caused. Five thousand State houses were removed from the State housing list under the last Government. Since we took office, we've created 4,258 new public housing spaces, and we have a further 3,480 houses under construction. If that rate of progress had been in place over the nine years prior to when we became the Government, we would not have a State house waiting list at all.",Hon CHRIS HIPKINS (Leader of the House),2020
": Rubbish? Somebody who doesn't speak MƒÅori is saying rubbish. Oh, no; that's right. That was the other impressive thing we've done: we've given all the MPs that are there headsets so they can have a simultaneous translation. This is how inclusive we are. Let me tell you now, when the MPs get things together, we set an example for the rest of the country. We spoke about the bridge. We spoke about the bridge that MƒÅori have had to cross since Europeans have been here, the bridge that means that MƒÅori can cross from the MƒÅori world into the European world. We've learnt the language, we've learnt the customs, we've learnt the tikanga, and it's almost always been one-way traffic. What we need and my vision for New Zealand in 2040, the bicentenary of the signing of Te Tiriti o Waitangi, is that by then, PƒÅkehƒÅ, Europeans, will be able to cross that bridge to the other side and know our language and know our customs and know how we think and feel and why we act and behave the way we do, and that New Zealanders can be crossing that bridge freely and communicating in whatever language we decide and we're not talking past each other. So this is my question for Simon Bridges, who in his tone-deaf speech believes that he's a statesman and that he has got some sort of mana and kudos. I'll tell you what, he's so uncomfortable in his MƒÅori skin he seeks affirmation from non-MƒÅori. That's where he gets his affirmation. In the meantime, he tramples on the mana and dignity of NgƒÅpuhi. But here's the thing. I have a question for Simon Bridges: Simon, are you prepared to cross that bridge? Are you prepared to cross? Even though he's MƒÅori, he was born on the non-MƒÅori side of things. Is he prepared to cross that bridge into the MƒÅori side? And I say if he is not prepared to cross that bridge, I question‚Äîand I say this to everybody in this House. If we are not prepared to cross that bridge freely and communicate with the people on the other side, then I question our place as politicians, as parliamentarians. That is the vision that I have for Aotearoa New Zealand: that we can cross that bridge freely.",Hon KELVIN DAVIS,2020
": Could I just say that one of those is because of the deportation policies from Australia. The other is the environment that was allowed to grow that ensured that gangs do thrive in this country, under the previous administration. The third one is the gangs have not got it through their heads that this Government means to deal to that sort of behaviour, because they're used to a party saying, ""The day after the election we'll bulldoze the headquarters down."" They said that and did nothing about it.",Rt Hon WINSTON PETERS,2020
": On behalf of the Prime Minister, that is not known. As to whether there was a partial association, a full association, an intermediary association, or a historical association, that sort of information we don't have. But what we do have‚Äîand very shortly‚Äîis not 1,000 or 1,500, but 2,000 new front-line police being deployed to take on this area. That means boots on the ground, not dinosaur footprints.",Rt Hon WINSTON PETERS,2020
": What would the solution have been from that previous Government? Thirteen of the 16 current polytechs are running deficits; the enrolments have been declining since 2010. I heard someone over there‚ÄîI'm not sure who it was, but they said, ""Oh, you're the Government."" That's right. That's why this side is doing something about it, because by doing nothing, the previous Government had already put vocational training under serious threat‚Äîserious threat. If we as a Government on this side of the House continued to do nothing, we would see the vocational sector go further into decline, and we've already heard the Minister of Education say that he refuses‚Äîhe refuses‚Äîto take that position. Now, this is an exciting bill. This is a day where we are putting vocational education back on the map. I'd have to say that I was actually really delighted‚Äîyou would think, that we had actually sat in different select committee hearings, and I can actually say, even though we split up into subcommittees, that I sat with Dr Reti for most of those same select committee hearings, but you would think that we were listening to different people in those select committee hearings. Most of those 236 submitters, many of them individuals, some organisations, were actually in support of the intent of this bill. Even those organisations and people who wanted to see changes made in the bill, most of those people and organisations were actually fully in support of the intent of this bill. This bill addresses the four challenges with the current system. Our skills shortages across sectors‚Äîwe hear about that a lot, and we heard about that a lot in the submissions during the select committee process. That's the first one. The second one: the untenable split in vocational systems. It was confusing. You had people or organisations that were competing against each other. So this is a bill that will consolidate those particular systems. The inequity of some polytechs doing well and others not‚Äîas I said, we have 13 of the current 16 polytechs that are running deficits; only three that are not running those deficits. There is a huge inequity there. We've been told in this House that, ""Oh, no, maybe we should be looking at this quite differently because there are three that are doing all right."" Well, I don't think it's OK that inequity exists like that. So this is what this bill is addressing. The fourth issue that this bill addresses is the lack of industry input in the current system, and that was something that we heard time and time and time again from industry saying that they want that tidied up. So the select committee did that. Now, I actually want to thank the Education and Workforce Committee, the full committee, in the work that they did. Due to health and my forced absence in the end, I wasn't there for the final deliberations in this bill. But I was very, very glad that I was able to be part of the committee up until that point and hear the many submissions that we heard. I'd have to say that, of all the bills that we've had before us as a select committee, in the Education and Workforce team, I think this is one that we probably put a heck of a lot of diligence into the work that we did. You can see that looking at the departmental report. It is extensive, and the changes that were recommended are ones that the subcommittees went through and deliberated on and talked about, and our officials in those subcommittees were amazing. They were incredible because they came back time and time and time again‚Äîso thanking all those members of the select committee but also the officials, who were so diligent in the work that they did as well. We've heard today that this bill is around modernising the learning of the sector. We're actually starting to look outside the square, looking to the responsive changes in the world. Learning doesn't just have to keep happening the way it's always been because that's the way we've always done it. We need to look at the issues, we need to hear from the sectors, and we need to change up what we're doing to make it better. Now, we heard all of those points that Dr Reti took out and said, ""These won't work."" Well, I challenge Dr Reti that we actually went through as a committee and based these changes on evidence. We based them on evidence of learning and modern learning, and changing up that way of how the world is existing. And we based it on the needs of the sector and what the sector asked us to look at. As Dr Reti rightly pointed out, there are lots and lots of changes that were made from select committee. I've already pointed out that the departmental report is extensive, but a couple that I just want to briefly, briefly touch on, because I know that I've got colleagues here that are touching on the rest, is that a number of submitters expressed support that the workforce development councils be industry owned and led. As I said before, that came through time and time again: industry were really concerned that that had to be a major component. So as a committee we looked at that, and the Minister outlined the changes that we made, but we were responsive to the needs of industry, and those changes can be seen having come through from the select committee process. The other important consideration was the one that Dr Reti talked about right at the end of his contribution‚Äîaround the important consideration given to the concern shown from submitters that industry training organisations (ITO) staff would lose jobs in the transfer of the new system. We heard that we'd taken our eye off the ball. I would actually challenge that because, if you read the original bill as it stood, clause 33 in that bill already had the provisions for the transfer of polytech staff to the NZIST. So it already existed. What we were told, though, was that this didn't cover the transitional ITO transfers, and even though there was the intent that that would happen, under clause 33, it wasn't transparent enough in people's minds. So that was where the changes were made. And, yes, that's a great thing because we now have that protection for those staff members. I have heard from people who are working in the sector who are absolutely delighted at this change, around the surety that it gives them in their positions going forward. So I'm absolutely delighted to see this bill come through to the second reading. I'm delighted to also see the ongoing work that we heard from the Minister about the Supplementary Order Paper that he has expressed will be coming through when this bill gets to the next stage. So, without any further ado, I commend this bill to the House.",JAN TINETTI,2020
": I mean, I know it's the embodiment of me: short and snappy and to that point. Just to start this off with the amazing comment made by the previous speaker, Parmjeet Parmar. Now, it's been recognised that 13 out of 16 of the polytechs, when this Government came into Government, were going to fail. They were failing. They were in deficit. It cost this Government $100 million to keep them open. That's taxpayers' money; $100 million of taxpayers' money because the previous Government and the previous Minister for Tertiary Education‚ÄîI think his name was Steven Joyce‚Äîknew that there was a budgetary hole, and maybe this was part of his budgetary hole because he knew that a hundred million dollars of taxpayers' money would have to be put into the polytechs to keep some regional educational vocation provision. But the previous speaker just blamed it on this Government's policies around international students, who can't now get into the country. I'm going to make a jump‚ÄîI'm going to make a leap‚Äîbut I'm going to say that that speaker is talking about the actions we've taken to protect this nation from coronavirus. That's the only thing I can think of, because with regard to international students, it's been a couple of years and the polytechs were already in deficit before we even came in and we even made any changes. So I think it's an enormous stretch for the chair of the Education and Workforce Committee to then say that the reason why polytechs are in trouble is because of the coronavirus. It's a stretch. I've got to say, it's a stretch. Somebody else might be able to connect that, but it's a wee way out for me. So the other comments that have been made by Shane Reti‚Äîand I like Shane Reti. I enjoy listening to Shane Reti. I mean, there is a man of intelligence and integrity. I believe that to be true. Sometimes he's wrong, but he has intelligence and integrity. Now, what he talked about there was he said that this legislation is rushed. There is a reasonable amount of urgency. Definitely that is true around fixing the vocational education system in this country. One of them is because we can't keep pouring $100 million into a broken system. The three polytechs that actually were making money, even if we talk about their ability to do that locally and regionally‚Äîthe only reason why, for example, the Southern Institute of Technology was able to stay in the black was because not only do they have an amazing community and a wonderful trust down there that supports them but they had a campus in Auckland. So they were not able to actually keep themselves in the black based on their localism; they needed a campus in Auckland. That goes to show that the regional provision was not able to work under the way that it had been set up previously. The other thing I find fascinating‚Äîand I want to thank all those business owners and industry training organisations (ITOs) and MƒÅori enterprise and so on that came to see me specifically so that I could draw them and go through with them where the areas of concern are in the model that we've got here because of the scaremongering put together by the National Party.",Hon TRACEY MARTIN,2020
": The press release‚Äîthe Minister says I'm wrong. I seek leave of the House to table the Minister's press release that made no mention of that sneaky, dirty little provision in this bill. I seek the leave.",Hon Dr NICK SMITH,2020
": Dr Smith, I think you've been here even longer than me‚Äîwhich feels like quite a long time on a Thursday afternoon, I'll tell you. You know that you can't seek leave to table something that's already public. You have three minutes 47 left. If you don't start addressing the bill directly, your time will be terminated.",ASSISTANT SPEAKER (Hon Ruth Dyson),2020
": The Government's pretty sensitive about it, eh? They don't like a bit of criticism‚Äîshut down the Opposition! Typical of your approach around electoral law when you test this Government on its dodgy carryings-on, whether it be the New Zealand First Foundation or whether it be the provisions of this bill. Here's the issue: the Electoral Commission recommended against same-day enrolment for the 2020 election. The Electoral Commission recommended against the 2020 election providing for same-day enrolment and voting because‚Äî",Hon Dr NICK SMITH,2020
": Can I say, again, Tenby Powell had a call from the Minister of Police this morning‚Äîthat's the first thing. The second thing is he has been assured of the number of people we are putting on the ground and that the police will be provisioned with the utilities to do their job. The third thing is that quote could have been said by me‚Äîit sounds so original.",Rt Hon WINSTON PETERS,2020
": On behalf of the Prime Minister, the police in this country may have had that sentiment at one time, but now there'll be no excuse because they will have the resources. They'll have the men and women and the power on the front line. In contrast, we saw the previous administration run the police numbers down‚Äînot going up; going down‚Äîand if I had that record, I'd keep my mouth shut.",Rt Hon WINSTON PETERS,2020
": I want to thank the Minister of Police for reminding us of the fact and not just allegations. But can I just say police will be on the ground. Expect to see more armed police on the streets of Hawke's Bay and the Bay of Plenty in response to this gang tension. Expect to see police openly carrying their rifles and pistols where it's required, expect to see police wearing new body armour, expect to see the Eagle helicopter in the air, and expect to see police executing search warrants at gang properties. Expect them also to be enforcing the new laws that we are about to pass with respect to their gang access or the provisioning of gangs with guns, which that Opposition party there is opposing.",Rt Hon WINSTON PETERS,2020
"Is it backing teachers to have 55 percent\'97well over the OECD average of 33 percent\'97reporting that their stress is due to keeping up with curriculum or programme changes, especially when schools are already unable to properly staff existing subjects?",Dr Lawrence Xu-Nan,2025
"Just in relation to a couple of comments made, they're both really important points. Mr Rurawhe talks about the Deputy Speaker; that is a really important point in Part 3 of this bill. The Parliamentary Service Act 2000 makes it clear that the Deputy Speaker can have the functions and powers of the Speaker, but it's unclear in the Clerk of the House of Representatives Act 1988. This goes back to the starting point, which is that the Act was written in 1988 and needs updating. So this makes it crystal clear that the Deputy Speaker can exercise the functions of the Speaker. In relation to Glen Bennett's point around clause 52, this is a bit of a carry-over provision, but it makes it clear that the ""parliamentary precincts"" in clause 53 are Parliament buildings, including the very important executive wing, of course, and Part 1 of Schedule 2 and Part 2 of Schedule 2 have the indicative map of the land. The key point is that there's flexibility for Parliament in the future if it chooses to grow and expand. In fact, there's a process under way around that at the moment, but it just gives some flexibility so that, by resolution, the House can expand the grounds without having to go through a legislative change, because being on the parliamentary grounds has a particular meaning for Parliament, not the least of which is leave. And before any honourable member asks: yes, there would be the ability to extend that to places of ill repute near Parliament, but there is no current proposal on the table to do that and, I hasten to add, for everyone listening, the Government is not intending to do that.",Hon CHRIS BISHOP,2025
